state_name,district_name,block_name,state_code,district_code,block_code,total_shg_loan_amount
Andhra Pradesh,Palnadu,Atchempet,28,751,4925,15570000
Andhra Pradesh,Palnadu,Bellamkonda,28,751,4927,1400000
Andhra Pradesh,Palnadu,Bollapalle,28,751,4929,9300000
Andhra Pradesh,Palnadu,Chilakaluripet,28,751,4932,55697640
Andhra Pradesh,Palnadu,Dachepalle,28,751,4933,16831000
Andhra Pradesh,Palnadu,Durgi,28,751,4935,29985000
Andhra Pradesh,Palnadu,Edlapadu,28,751,4936,13125000
Andhra Pradesh,Palnadu,Gurazala,28,751,4938,25400000
Andhra Pradesh,Palnadu,Ipur,28,751,4939,6650000
Andhra Pradesh,Palnadu,Karempudi,28,751,4941,35982500
Andhra Pradesh,Palnadu,Krosuru,28,751,4945,17155000
Andhra Pradesh,Palnadu,Machavaram,28,751,4946,55690000
Andhra Pradesh,Palnadu,Macherla,28,751,4947,17940000
Andhra Pradesh,Palnadu,Muppalla,28,751,4950,28698582
Andhra Pradesh,Palnadu,Nadendla,28,751,4951,28272000
Andhra Pradesh,Palnadu,Narasaraopeta,28,751,4953,59825000
Andhra Pradesh,Palnadu,Nekarikallu,28,751,4954,33910000
Andhra Pradesh,Palnadu,Nuzendla,28,751,4956,29235000
Andhra Pradesh,Palnadu,Pedakurapadu,28,751,4958,10660000
Andhra Pradesh,Palnadu,Piduguralla,28,751,4961,5700000
Andhra Pradesh,Palnadu,Rajupalem,28,751,4965,14954000
Andhra Pradesh,Palnadu,Rentachintala,28,751,4966,19965000
Andhra Pradesh,Palnadu,Rompicherla,28,751,4968,15050000
Andhra Pradesh,Palnadu,Sattenapalle,28,751,4969,50650000
Andhra Pradesh,Palnadu,Savalyapuram,28,751,4970,15650000
Andhra Pradesh,Palnadu,Veldurthy,28,751,4977,11758000
Andhra Pradesh,Palnadu,Vinukonda,28,751,4979,10500000
Andhra Pradesh,Parvathipuram Manyam,Balijipeta,28,743,5624,17765000
Andhra Pradesh,Parvathipuram Manyam,Bhamini,28,743,5544,21795300
Andhra Pradesh,Parvathipuram Manyam,Garugubilli,28,743,5634,40663000
Andhra Pradesh,Parvathipuram Manyam,Gummalakshmipuram,28,743,5635,29690000
Andhra Pradesh,Parvathipuram Manyam,Jiyyammavalasa,28,743,5638,36150000
Andhra Pradesh,Parvathipuram Manyam,Komarada,28,743,5639,16524000
Andhra Pradesh,Parvathipuram Manyam,Kurupam,28,743,5641,29720000
