year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,6829,Nellipaka,14685,14685,18359,9745,8386
2019-2020,28,Andhra Pradesh,751,Palnadu,4947,Macherla,19038,19038,26174,13624,11272
2019-2020,28,Andhra Pradesh,751,Palnadu,4966,Rentacrintala,16398,16398,19216,10269,8659
2019-2020,28,Andhra Pradesh,751,Palnadu,4938,Gurazala,18089,18089,15138,8091,8589
2019-2020,28,Andhra Pradesh,751,Palnadu,4933,Dachepalle,17286,17286,15583,8250,7912
2019-2020,28,Andhra Pradesh,751,Palnadu,4946,Machavaram,14849,14849,17115,8922,7420
2019-2020,28,Andhra Pradesh,751,Palnadu,4927,Bellamkonda,10002,10002,14306,7254,6234
2019-2020,28,Andhra Pradesh,751,Palnadu,4925,Achampeta,15431,15431,20194,10689,6806
2019-2020,28,Andhra Pradesh,751,Palnadu,4945,Krosuru,15334,15334,18200,9284,7251
2019-2020,28,Andhra Pradesh,751,Palnadu,4923,Amaravathi,18012,18012,15477,8095,7617
2019-2020,28,Andhra Pradesh,506,Guntur,4974,Thullur,13424,13424,7836,4323,3700
2019-2020,28,Andhra Pradesh,506,Guntur,4971,Thadepalle,5240,5240,0,0,1131
2019-2020,28,Andhra Pradesh,506,Guntur,4948,Mangalagiri,9598,9598,0,0,2112
2019-2020,28,Andhra Pradesh,506,Guntur,4972,Tadikonda,14123,14123,16088,9269,5944
2019-2020,28,Andhra Pradesh,751,Palnadu,4958,Pedakurapadu,14959,14959,18633,9283,8698
2019-2020,28,Andhra Pradesh,751,Palnadu,4969,Sattenapalle,18062,18062,28427,14209,10108
2019-2020,28,Andhra Pradesh,751,Palnadu,4965,Rajupalem,14193,14193,19788,10364,7923
2019-2020,28,Andhra Pradesh,751,Palnadu,4961,Piduguralla,17889,17889,16869,9327,7385
2019-2020,28,Andhra Pradesh,751,Palnadu,4941,Karempudi,12880,12880,17537,9482,6621
2019-2020,28,Andhra Pradesh,751,Palnadu,4935,Durgi,15526,15526,20373,11054,9514
2019-2020,28,Andhra Pradesh,751,Palnadu,4977,Veldurthi,18427,18427,21896,11449,12015
2019-2020,28,Andhra Pradesh,751,Palnadu,4929,Bollapalle,20830,20830,32699,16452,12907
2019-2020,28,Andhra Pradesh,751,Palnadu,4954,Nakarikallu,19439,19439,23169,12510,9735
2019-2020,28,Andhra Pradesh,751,Palnadu,4950,Muppalla,12984,12984,15222,7800,7119
2019-2020,28,Andhra Pradesh,506,Guntur,4960,Phirangipuram,13562,13562,18484,9900,6805
2019-2020,28,Andhra Pradesh,506,Guntur,4949,Medikonduru,10607,10607,14657,8040,6656
2019-2020,28,Andhra Pradesh,506,Guntur,4937,Guntur,6980,6980,8814,5222,3776
2019-2020,28,Andhra Pradesh,506,Guntur,4957,Pedakakani,12533,12533,9272,5185,3158
2019-2020,28,Andhra Pradesh,506,Guntur,4934,Duggirala,14230,14230,17429,9645,7312
2019-2020,28,Andhra Pradesh,506,Guntur,4943,Kollipara,13891,13891,15617,8543,6175
2019-2020,28,Andhra Pradesh,750,Bapatla,4944,Kollur,13135,13135,18003,9596,6326
2019-2020,28,Andhra Pradesh,750,Bapatla,4978,Vemuru,9690,9690,13565,7315,4778
2019-2020,28,Andhra Pradesh,506,Guntur,4973,Tenali,13334,13334,16751,9551,5504
2019-2020,28,Andhra Pradesh,750,Bapatla,4975,Tsundur,10607,10607,15073,7890,5698
2019-2020,28,Andhra Pradesh,506,Guntur,4930,Chebrole,14199,14199,14994,8633,6710
2019-2020,28,Andhra Pradesh,506,Guntur,4976,Vatticherukuru,8811,8811,9121,4823,3611
2019-2020,28,Andhra Pradesh,506,Guntur,4964,Prathipadu,13385,13385,14335,7680,5399
2019-2020,28,Andhra Pradesh,751,Palnadu,4936,Edlapadu,14203,14203,17111,9034,6565
2019-2020,28,Andhra Pradesh,751,Palnadu,4951,Nadendla,15240,15240,16260,8355,8282
2019-2020,28,Andhra Pradesh,751,Palnadu,4953,Narasaraopeta,25125,25125,28286,15155,13205
2019-2020,28,Andhra Pradesh,751,Palnadu,4968,Rompicherla,17383,17383,25746,13514,9609
2019-2020,28,Andhra Pradesh,751,Palnadu,4939,Ipuru,13639,13639,20368,10469,9794
2019-2020,28,Andhra Pradesh,751,Palnadu,4970,Savalyapuram,10139,10139,15298,8180,6766
2019-2020,28,Andhra Pradesh,751,Palnadu,4979,Vinukonda,17200,17200,27054,13979,11607
2019-2020,28,Andhra Pradesh,751,Palnadu,4956,Nuzendla,15727,15727,26762,13644,11730
2019-2020,28,Andhra Pradesh,751,Palnadu,4932,Chilakaluripet,15322,15322,14389,8230,7291
2019-2020,28,Andhra Pradesh,506,Guntur,4959,Pedanandipadu,11027,11027,11824,6196,4985
2019-2020,28,Andhra Pradesh,506,Guntur,4940,Kakumanu,11352,11352,15194,7806,7390
2019-2020,28,Andhra Pradesh,506,Guntur,4963,Ponnur,16344,16344,17203,9034,8197
2019-2020,28,Andhra Pradesh,750,Bapatla,4924,Amruthalur,10083,10083,15712,8047,6600
2019-2020,28,Andhra Pradesh,750,Bapatla,4931,Cherukupalle,12287,12287,16682,8665,6673
