state_name,state_code,district_name,district_code,block_name,block_code,gw_stge_of_extraction,gw_extraction_category
Haryana,6,Charki Dadri,701,Jhojhu,7107,157.65102999252852,Over-exploited
Rajasthan,8,Ajmer,86,Arain,566,160.79164243860984,Over-exploited
Rajasthan,8,Ajmer,86,Bhinay,567,191.54395330305724,Over-exploited
Rajasthan,8,Ajmer,86,Jawaja,568,216.80836882058875,Over-exploited
Rajasthan,8,Ajmer,86,Kekri,569,183.8068568807624,Over-exploited
Rajasthan,8,Ajmer,86,Kishangarh Silora,570,178.7134014532325,Over-exploited
Rajasthan,8,Ajmer,86,Masooda,571,118.61084762381827,Over-exploited
Rajasthan,8,Ajmer,86,Pisangan,572,190.2198606708669,Over-exploited
Rajasthan,8,Ajmer,86,Srinagar,573,173.42498722099165,Over-exploited
Rajasthan,8,Ajmer,86,Sarwar,6860,152.0202149600953,Over-exploited
Rajasthan,8,Alwar,87,Bansur,574,162.84168346902837,Over-exploited
Rajasthan,8,Alwar,87,Behror,575,273.3685247244443,Over-exploited
Rajasthan,8,Alwar,87,Kathumar,576,278.59761213294604,Over-exploited
Rajasthan,8,Alwar,87,Kishangarh Bas,577,173.5476665255685,Over-exploited
Rajasthan,8,Alwar,87,Kotkasim,578,197.54799984731656,Over-exploited
Rajasthan,8,Alwar,87,Laxmangarh,579,291.561892,Over-exploited
Rajasthan,8,Alwar,87,Mandawar,580,227.5935755876532,Over-exploited
Rajasthan,8,Alwar,87,Neemrana,581,233.38514370979365,Over-exploited
Rajasthan,8,Alwar,87,Rajgarh,582,143.22143047669854,Over-exploited
Rajasthan,8,Alwar,87,Ramgarh,583,239.50672523280457,Over-exploited
Rajasthan,8,Alwar,87,Reni,584,221.9732341796404,Over-exploited
Rajasthan,8,Alwar,87,Thanagazi,585,103.33291750232706,Over-exploited
