as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andhra Pradesh,28,Guntur,506,Nuzendla,4956,11159,1758,42276
01-04-2021,Andhra Pradesh,28,Guntur,506,Pedakakani,4957,17922,2938,57987
01-04-2021,Andhra Pradesh,28,Guntur,506,Pedakurapadu,4958,12609,1960,38982
01-04-2021,Andhra Pradesh,28,Guntur,506,Pedanandipadu,4959,13203,1501,30215
01-04-2021,Andhra Pradesh,28,Guntur,506,Phirangipuram,4960,16824,2587,48481
01-04-2021,Andhra Pradesh,28,Guntur,506,Piduguralla,4961,12276,4127,49183
01-04-2021,Andhra Pradesh,28,Guntur,506,Pittalavanipalem,4962,6778,1997,31803
01-04-2021,Andhra Pradesh,28,Guntur,506,Ponnuru,4963,20408,3357,44800
01-04-2021,Andhra Pradesh,28,Guntur,506,Prathipadu,4964,14003,1728,37228
01-04-2021,Andhra Pradesh,28,Guntur,506,Rajupalem,4965,8922,3645,38021
01-04-2021,Andhra Pradesh,28,Guntur,506,Rentachintala,4966,8193,4866,41251
01-04-2021,Andhra Pradesh,28,Guntur,506,Repalle,4967,11270,1434,34746
01-04-2021,Andhra Pradesh,28,Guntur,506,Rompicherla,4968,12725,3447,45928
01-04-2021,Andhra Pradesh,28,Guntur,506,Sattenapalli,4969,25967,2422,50673
01-04-2021,Andhra Pradesh,28,Guntur,506,Savalyapuram,4970,9506,3128,30551
01-04-2021,Andhra Pradesh,28,Guntur,506,Tadikonda,4972,18481,3541,50626
01-04-2021,Andhra Pradesh,28,Guntur,506,Tenali,4973,21794,2250,53454
01-04-2021,Andhra Pradesh,28,Guntur,506,Thullur,4974,21741,2941,34608
01-04-2021,Andhra Pradesh,28,Guntur,506,Tsundur,4975,16308,2418,29383
01-04-2021,Andhra Pradesh,28,Guntur,506,Vatticherukuru,4976,12942,1581,35502
01-04-2021,Andhra Pradesh,28,Guntur,506,Veldurthi,4977,6536,17645,32285
01-04-2021,Andhra Pradesh,28,Guntur,506,Vemuru,4978,16579,2126,27432
01-04-2021,Andhra Pradesh,28,Guntur,506,Vinukonda,4979,12226,2685,42393
01-04-2021,Andhra Pradesh,28,Krishna,510,A.Konduru,5099,12203,12177,27623
01-04-2021,Andhra Pradesh,28,Krishna,510,Agiripalli,5100,15183,687,47540
01-04-2021,Andhra Pradesh,28,Krishna,510,Avanigadda,5101,6286,866,32972
01-04-2021,Andhra Pradesh,28,Krishna,510,Bantumilli,5102,7431,1089,35539
01-04-2021,Andhra Pradesh,28,Krishna,510,Bapulapadu,5103,18511,1735,72666
